date,openrecovered,closerecovered,outstandingshares
2003-01-02,,,
2003-01-03,,,
2003-01-06,,,
2003-01-07,,,
2003-01-08,,,
2003-01-09,,,
2003-01-10,,,
2003-01-13,,,
2003-01-14,,,
2003-01-15,,,
2003-01-16,,,
2004-01-02,,,
2004-01-05,,,
2004-01-06,,,
2004-01-07,,,
2004-01-08,,,
2004-01-09,,,
2004-01-12,,,
2004-01-13,,,
2004-01-14,,,
2004-01-15,,,
2004-01-16,,,
2004-01-29,,,
2004-01-30,,,
2004-02-02,,,
2004-02-03,,,
2004-02-04,,,
2004-02-05,,,
2004-02-06,,,
2004-02-09,,,
2004-02-10,,,
2004-02-11,,,
2004-02-12,,,
2004-02-13,,,
2004-02-16,,,
2004-02-17,,,
2004-02-18,,,
2004-02-19,,,
2004-02-20,,,
2004-02-23,,,
2004-02-24,,,
2004-02-25,,,
2004-02-26,,,
2004-02-27,,,
2004-03-01,,,
2004-03-02,,,
2004-03-03,,,
2004-03-04,,,
2004-03-05,,,
2004-03-08,,,
2004-03-09,,,
2004-03-10,,,
2004-03-11,,,
2004-03-12,,,
2004-03-15,,,
2004-03-16,,,
2004-03-17,,,
2004-03-18,,,
2004-03-19,,,
2004-03-22,,,
2004-03-23,,,
2004-03-24,,,
2004-03-25,,,
2004-03-26,,,
2004-03-29,,,
2004-03-30,,,
2004-03-31,,,
2004-04-01,,,
2004-04-02,,,
2004-04-05,,,
2004-04-06,,,
2004-04-07,,,
2004-04-08,,,
2004-04-09,,,
2004-04-12,,,
2004-04-13,,,
2004-04-14,,,
2004-04-15,,,
2004-04-16,,,
2004-04-19,,,
2004-04-20,,,
2004-04-21,,,
2004-04-22,,,
2004-04-23,,,
2004-04-26,,,
2004-04-27,,,
2004-04-28,,,
2004-04-29,,,
2004-04-30,,,
2004-05-10,,,
2004-05-11,,,
2004-05-12,,,
2004-05-13,,,
2004-05-14,,,
2004-05-17,,,
2004-05-18,,,
2004-05-19,,,
2004-05-20,,,
2004-05-21,,,
2004-05-24,,,
2004-05-25,,,
2004-05-26,,,
2004-05-27,,,
2004-05-28,,,
2004-05-31,,,
2004-06-01,,,
2004-06-02,,,
2004-06-03,,,
2004-06-04,,,
2004-06-07,,,
2004-06-08,,,
2004-06-09,,,
2004-06-10,,,
2004-06-11,,,
2004-06-14,,,
2004-06-15,,,
2004-06-16,,,
2004-06-17,,,
2004-06-18,,,
2004-06-21,,,
2004-06-22,,,
2004-06-23,,,
2004-06-24,,,
2004-06-25,,,
2004-06-28,,,
2004-06-29,,,
2004-06-30,,,
2004-07-01,,,
2004-07-02,,,
2004-07-05,,,
2004-07-06,,,
2004-07-07,,,
2004-07-08,,,
2004-07-09,,,
2004-07-12,,,
2004-07-13,,,
2004-07-14,,,
2004-07-15,,,
2004-07-16,,,
2004-07-19,,,
2004-07-20,,,
2004-07-21,,,
2004-07-22,,,
2004-07-23,,,
2004-07-26,,,
2004-07-27,,,
2004-07-28,,,
2004-07-29,,,
2004-07-30,,,
2004-08-02,,,
2004-08-03,,,
2004-08-04,,,
2004-08-05,,,
2004-08-06,,,
2004-08-09,,,
2004-08-10,,,
2004-08-11,,,
2004-08-12,,,
2004-08-13,,,
2004-08-16,,,
2004-08-17,,,
2004-08-18,,,
2004-08-19,,,
2004-08-20,,,
2004-08-23,,,
2004-08-24,,,
2004-08-25,,,
2004-08-26,,,
2004-08-27,,,
2004-08-30,,,
2004-08-31,,,
2004-09-01,,,
2004-09-02,,,
2004-09-03,,,
2004-09-06,,,
2004-09-07,,,
2004-09-08,,,
2004-09-09,,,
2004-09-10,,,
2004-09-13,,,
2004-09-14,,,
2004-09-15,,,
2004-09-16,,,
2004-09-17,,,
2004-09-20,,,
2004-09-21,,,
2004-09-22,,,
2004-09-23,,,
2004-09-24,,,
2004-09-27,,,
2004-09-28,,,
2004-09-29,,,
2004-09-30,,,
2004-10-08,,,
2004-10-11,,,
2004-10-12,,,
2004-10-13,,,
2004-10-14,,,
2004-10-15,,,
2004-10-18,,,
2004-10-19,,,
2004-10-20,,,
2004-10-21,,,
2004-10-22,,,
2004-10-25,,,
2004-10-26,,,
2004-10-27,,,
2004-10-28,,,
2004-10-29,,,
2004-11-01,,,
2004-11-02,,,
2004-11-03,,,
2004-11-04,,,
2004-11-05,,,
2004-11-08,,,
2004-11-09,,,
2004-11-10,,,
2004-11-11,,,
2004-11-12,,,
2004-11-15,,,
2004-11-16,,,
2004-11-17,,,
2004-11-18,,,
2004-11-19,,,
2004-11-22,,,
2004-11-23,,,
2004-11-24,,,
2004-11-25,,,
2004-11-26,,,
2004-11-29,,,
2004-11-30,,,
2004-12-01,,,
2004-12-02,,,
2004-12-03,,,
2004-12-06,,,
2004-12-07,,,
2004-12-08,,,
2004-12-09,,,
2004-12-10,,,
2004-12-13,,,
2004-12-14,,,
2004-12-15,,,
2004-12-16,,,
2004-12-17,,,
2004-12-20,,,
2004-12-21,,,
2004-12-22,,,
2004-12-23,,,
2004-12-24,,,
2004-12-27,,,
2004-12-28,,,
2004-12-29,,,
2004-12-30,,,
2004-12-31,,,
2005-01-04,996.682,986.927,
2005-01-05,986.57,1003.633,
2005-01-06,1003.49,994.595,
2005-01-07,993.434,997.606,
2005-01-10,996.928,1006.337,
2005-01-11,1006.211,1008.343,
2005-01-12,1008.01,1008.62,
2005-01-13,1008.098,1013.07,
2005-01-14,1012.699,1000.169,
2005-01-17,990.987,977.522,
2005-01-18,977.603,991.419,
2005-01-19,991.291,986.241,
2005-01-20,983.198,972.463,
2005-01-21,971.501,988.519,
2005-01-24,1009.947,1008.175,
2005-01-25,1006.0,999.553,
2005-01-26,997.638,987.955,
2005-01-27,986.146,971.373,
2005-01-28,971.373,952.413,
